Rider,What it covers,What it pays,Key exclusions / limits
HDFC Life Waiver of Premium Rider Ð Linked / Non-Linked,"Death, disability, or listed critical illness of the rider life assured ",Future premiums of the base policy and any attached riders are waived ,This is not a cash payout rider; only premium obligations are waived 
HDFC Life LiveWell Rider Ð Linked / Non-Linked,"Death, terminal illness, accidental death, hospitalisation, disability due to accident, and listed surgeries depending on option chosen ","Lump sum benefit, proportional disability/surgery benefit, or premium waiver on death/terminal illness under the non-linked version ",Benefit depends on the option selected; not every event is covered under every option 
ICIC Pru Waiver of Premium Rider,"If the policyholder becomes unable to pay premiums due to covered events such as disability or critical illness, depending on the rider option ",Future premiums on the policy are waived; the base cover continues ,Not a cash payout rider; benefit depends on rider conditions and triggering event definitions 
ICIC Pru Critical Illness Rider / Accelerated Critical Illness Benefit,"Listed critical illnesses; ICICI Prudential states its health protect rider can cover 20 or 60 illnesses depending on variant, while some term-plan variants mention 34 illnesses ","Lump sum on first diagnosis of a covered critical illness, subject to underwriting and policy terms ",Only listed illnesses are covered; diagnosis documents and survival conditions may apply 
ICIC Pru Accidental Death Benefit Rider,Death caused by accident during the policy term ,Additional death benefit on top of the base sum assured ,"Accident-only cover; exclusions generally include self-inflicted injury, illegal acts, intoxication, and hazardous activities "
ICIC Pru Permanent & Partial Disability Rider / Accidental Total and Permanent Disability Benefit,"Disability due to accident, including total and permanent disability under the policy definitions ","Lump sum or scheduled benefit, depending on rider design; ICICI Prudential says the disability option pays out a lump sum for accidental total and permanent disability ",Must meet the policyÕs disability clauses; not every disability qualifies 
ICIC Pru Income Benefit Rider,"Death or disability of the policyholder, depending on rider rules ",Regular income to the family for a specified period ,Only available if the plan offers it; payout structure is defined in the rider terms 
ICIC Pru Terminal Illness Benefit,Terminal illness diagnosed during the policy term ,The policyÕs claim amount is paid upfront or accelerated under the plan ,Only terminal illness as defined in the plan; not a general critical illness cover 
ICIC Pru Life Guardian Benefit Rider,"If the policyholder and life assured are different people, and the policyholder dies before policy term ends ",Future premiums are waived so the childÕs or dependentÕs policy continues ,Relevant only where policyholder and insured are different; not a death benefit rider 
ICIC Pru Term Benefit Rider,Death of the life assured during the rider term ,Single lump sum paid to the nominee in addition to the base policy benefit ,Pure death cover rider; no maturity benefit or illness/disability protection implied 
Kotak Term Benefit Rider,Death of the life assured during the rider term ,Extra lump sum death benefit over and above the base policy ,Pure death cover; no maturity benefit 
Kotak Accidental Death Benefit Rider,Death due to accident during the rider term ,"Additional accidental death benefit to nominee, over and above base sum assured ","Accident-only cover; exclusions typically include suicide, intoxication, criminal acts, war, and hazardous activities as defined in the policy wording "
Kotak Permanent Disability Benefit Rider,Total/permanent disability due to accident ,"120% of rider sum assured paid over 5 years, in instalments ",Only accidental permanent disability is covered; disability must meet rider definition 
Kotak Critical Illness Plus Benefit Rider,Specified critical illnesses ,Lump sum benefit on diagnosis of a covered critical illness ,Covers only listed illnesses; Kotak says this rider covers 37 critical illnesses 
Kotak Life Guardian Benefit Rider,Death of the policyholder when policyholder and life insured are different people ,Future premiums are waived so the policy continues ,Not a cash payout rider; available only when policyholder and life insured are different 
Kotak Accidental Disability Guardian Benefit Rider,Total and permanent disability of the policyholder due to accident ,Future premiums are waived so the policy continues ,"Works like a waiver rider, not a lump sum benefit rider "
Kotak Critical Illness Benefit Rider,First occurrence of covered critical illness ,A portion of sum assured paid on diagnosis ,"Subject to rider definitions, illness list, and plan-specific age terms "
Kotak Accidental Disability Rider,Disability due to accident ,"Financial support for disability, depending on rider design ",Covered only for accident-related disability; exact payout structure depends on the policy 
ABSLI Comprehensive Critical Illness Rider,Up to 64 critical illnesses under Silver and Gold options ,Lump sum benefit based on rider option and claim validity ,Only listed illnesses are covered; claim depends on definitions and policy conditions 
ABSLI Hospital Care Rider,Hospitalization for medically necessary treatment of illness or injury for at least 24 hours ,"Daily cash benefit from day 1, ICU extra benefit, and a recuperation benefit for longer hospital stays ",Coverage applies only to elie hospitalizations and policy-defined conditions 
ABSLI Surgical Care Rider,Medically necessary surgery requiring at least 24 hours of hospitalization ,"Benefit amount depends on the surgery type; major surgery pays 5 times the chosen benefit amount, other covered surgery pays the chosen amount ",Only listed/covered surgeries are elie; benefit structure depends on rider rules 
ABSLI Waiver of Premium Rider,"Complete disability due to illness or accident, or diagnosis of specified critical illnesses, or death of proposer if proposer is not the life insured ",Future premiums for the base plan and attached riders are waived ,"Not a cash payout rider; waiver continues only until the policy end, termination, or proposer age 70, whichever is earlier "
ABSLI Accidental Death and Disability Rider,Accidental death and accidental disability ,100% of rider sum assured on accidental death; disability benefit ranges from 5% to 100% depending on the injury ,Claim must arise from accident and satisfy disability definitions; rider is not for natural death or non-accidental disability 
ABSLI Critical Illness Rider,Four major illnesses ,100% of rider sum assured on survival of 30 days after confirmed diagnosis ,Only those 4 illnesses are covered; survival condition applies 
ABSLI Accidental Death Benefit Rider Plus,Accidental death of the life insured ,100% of rider sum assured to the nominee ,Accident-only cover; maximum rider term and amount limits apply 
ABSLI Accidental Death Benefit Rider Plus (older versions),Accidental death ,100% of rider sum assured ,"Same accident-only nature, but version-specific terms may differ "
Waiver of Premium Rider,"Disability, dismemberment, or critical illness, depending on the rider variant ",Future premiums are waived; the base policy continues ,Not a cash-benefit rider; only waives premiums under covered events 
TATA AIA Accidental Death Rider,Death due to accident during the rider term ,Extra death benefit to nominee in addition to base policy benefit ,"Accident-only cover; exclusions generally include suicide, war, hazardous activities, and similar policy exclusions "
TATA AIA Accidental Disability Rider,Partial or total disability due to accident ,Financial benefit for disability; some variants pay income or instalment-based benefits ,Must meet accident and disability definitions; non-accidental disability is not covered 
TATA AIA Accidental Death and Dismemberment (Long Scale) Linked Rider,Accident-related death and dismemberment ,Lump sum or long-scale benefit depending on the injury/disability level ,Linked rider; benefit depends on injury classification and plan conditions 
TATA AIA Linked Comprehensive Protection Rider,"Broader protection, typically death plus disability-type cover in linked ULIPs ",Additional protection benefit as per rider structure ,Availability limited to linked plans; exact cover varies by policy 
TATA AIA Linked Comprehensive Health Rider,Critical illness and health-related risks in linked plans ,Lump sum benefit for covered health events ,Only listed illnesses/conditions are covered 
TATA AIA Critical Illness Rider / Critical Illness and Disability Rider,"Specified critical illnesses and, in some variants, disability cover ",Lump sum on diagnosis of covered illness; benefit structure varies by plan variant ,"Coverage depends on illness list, diagnosis rules, and waiting periods "
TATA AIA Hospicare Benefit Rider,Hospitalization-related expenses and hospital stay support ,"Hospital cash-style support or similar benefit, depending on plan ",Not a broad life cover rider; benefit depends on hospitalization conditions 
TATA AIA Terminal Illness Benefit,Terminal illness under term plan rules ,Early/accelerated payment of the claim amount as defined by the plan ,Only terminal illness as defined in the policy; not all severe illnesses 
SBI Accidental Death Benefit Rider,Death due to accident during the policy term ,"Lump sum additional benefit to nominee, over and above the base policy ","Accident-only cover; excludes self-injury, suicide, intoxication, war, and hazardous activities "
SBI Accidental Total and Permanent Disability Rider,Total and permanent disability caused by accident ,Lump sum benefit to the life assured ,Must meet SBI LifeÕs definition of total/permanent disability; non-accidental disability not covered 
SBI Accidental Partial Permanent Disability Benefit Rider,Partial permanent disability due to accident ,Lump sum benefit proportional to the disability level ,Disability must qualify under rider terms; partial-only cover 
SBI Critical Illness Rider,Listed critical illnesses as defined in the policy ,Lump sum benefit on diagnosis of covered critical illness ,Only specified illnesses; waiting periods and survival conditions may apply 
SBI Waiver of Premium Rider,"Death of policyholder (if different from life insured), disability, or critical illness ",Future premiums are waived; policy continues ,No cash payout; waiver based on triggering event 
SBI Income Rider,Death of policyholder during policy term ,Fixed income amount paid to nominee for a specified period ,Income payout structure only; depends on rider terms 
SBI Accelerated Death Benefits Rider,Death due to specific pre-defined conditions like terminal illness ,"Additional benefits beyond base plan, often accelerated payout ",Limited to defined conditions; plan-specific 
Bajaj Allianz Accidental Death Benefit Rider,Death of the life assured due to accident during the policy term ,Additional lump sum death benefit over and above the base policy sum assured ,"Accident-only cover; excludes suicide, self-injury, intoxication, war, and hazardous activities "
Bajaj Allianz Accidental Disability Rider,Partial or permanent disability as a result of an accident ,Additional benefit as per rider terms and conditions ,Must meet policy disability definitions; non-accidental disability not covered 
Bajaj Allianz Waiver of Premium Rider,"Death, disability, or critical illness as specified in the plan ",Future premiums are waived; the base policy continues in force ,No cash payout; only waives premiums under covered events 
Bajaj Allianz Critical Illness Rider,Critical illness as outlined in the plan ,Lump sum payment to the life assured to meet medical expenses ,Only specified illnesses; diagnosis and waiting period conditions apply 
Bajaj Allianz Family Protect Rider / Family Income Benefit Rider,Death or accidental total permanent disability of the life assured ,Lump sum (105% of premiums paid) plus monthly income to surviving parent(s) for life (0.1% to 0.5% of rider sum assured) ,Triggered by death/ATPD of life assured; no benefit if parent dies first 
Bajaj Allianz Family Income Benefit Rider,Death of the life assured ,Regular payments to the family for a fixed period ,Income payout structure only; depends on rider terms 
PNB MetLife Accidental Death Benefit Rider Plus,Death due to accident within 180 days of the accident occurring ,100% of rider sum assured paid to nominee in addition to base policy buy,"Accident-only cover; death must occur within 180 days of accident; excludes self-injury, suicide, intoxication, war buy"
PNB MetLife Accidental Disability Benefit Rider,Disability due to accident during the policy term ,Pre-decided accidental disability benefit sum assured ,Must meet disability definitions; non-accidental disability not covered 
PNB MetLife Serious Illness Rider,First diagnosis of 10 covered serious illnesses ,Serious illness benefit sum assured paid to the insured ,Only the 10 listed serious illnesses; diagnosis rules apply 
PNB MetLife Critical Illness Benefit Rider,First diagnosis of cancer and heart attack (the two critical illnesses covered) ,Critical illness benefit sum assured paid to the insured ,Limited to cancer and heart attack only; subject to terms and conditions 
PNB MetLife Linked Accidental Death Benefit Rider,Accidental death under linked policies ,Rider sum assured paid on accidental death ,Available only for linked plans; 180-day death-from-accident limit 
PNB MetLife Group Accidental Death Benefit Plus,Group policy accidental death ,Additional payout for group members ,Group rider only; individual retail term plans use the individual versions 
PNB MetLife Group Accidental Permanent & Total Disability Plus,Group policy accidental permanent/total disability ,Disability benefit under group terms ,Group rider only 
PNB MetLife Group Accidental Permanent & Partial Disability Plus,Group policy accidental permanent/partial disability ,Disability benefit under group terms ,Group rider only 
PNB MetLife Group Illness Serious Rider,Group policy serious illness cover ,Serious illness benefit under group terms ,Group rider only 
IndusInd Nippon Life Accidental Death Benefit Rider,Death due to accident during the policy term ,"Lump sum equal to rider sum assured, paid in addition to base policy benefit ","Accident-only cover; standard exclusions like self-injury, suicide, intoxication, war apply "
IndusInd Nippon Life Accidental Death and Disability Rider,Accidental death or total/permanent disability due to accident ,Lump sum rider sum assured on accidental death; annual income paid for 10 years on total/permanent disability ,Disability must meet policy definition; within 180 days of accident 
IndusInd Nippon Life Accidental Death and Disability Plus Rider,Accidental death or total/permanent disability due to accident ,"Same as AD&D Rider (lump sum on death, annual income on disability) PLUS future premiums waived ",Same exclusions as AD&D Rider; waiver feature only applies after disability claim 
IndusInd Nippon Life Critical Illness Rider,Diagnosis of any of 25 covered critical illnesses ,Lump sum amount paid to policyholder ,Only listed 25 illnesses; diagnosis and waiting period rules apply 
IndusInd Nippon Life Term Life Insurance Benefit Rider,Death of the policyholder during the rider term ,Lump sum benefit on death ,Pure term death cover; no maturity or illness protection 
IndusInd Nippon Life Accidental Death Benefit Plus Rider,Accidental death during the policy term ,Extra guaranteed lump sum payout over and above base death benefit ,Enhanced accident death cover; standard accident exclusions 
Aviva Accidental Casualty Non-Linked Rider (UIN: 122B035V01),"Accidental death, disability, and casualty events ",Rider sum assured or proportional benefit based on the casualty event ,Accident-only cover; standard exclusions apply 
Aviva New Critical Illness Non-Linked Rider (UIN: 122B036V02),Specified critical illnesses ,Lump sum benefit on diagnosis of covered critical illness ,Only listed illnesses; diagnosis conditions apply 
Aviva Cancer Cardio Non-Linked Rider (UIN: 122B037V02),Cancer and cardio-related critical illnesses ,Lump sum benefit for covered cancer/cardio conditions ,Limited to cancer and cardiovascular diseases 
Aviva Group New Critical Illness Non-Linked Rider (UIN: 122B038V02),Specified critical illnesses in group policies ,Group-specific benefit payout ,Group rider only; individual plans use individual versions 
Aviva Group Accidental Death Benefit Non-Linked Rider (UIN: 122B039V01),Accidental death in group coverage ,Group rider sum assured on accidental death ,Group rider only 
Aviva Group Accidental Total & Permanent Disability Non-Linked Rider (UIN: 122B040V01),Total and permanent disability due to accident in group coverage ,Group disability benefit ,Group rider only; disability must meet policy definitions 
Shriram Life Critical Illness Plus Rider,"Diagnosis of any of 24 critical illnesses, with 30-day survival period ",100% of rider sum assured; loyalty addition increases sum assured by 15% after 3rd year ,Only 24 listed illnesses; one-time payout; rider terminates after claim 
Shriram Life Accident Benefit Rider,Accidental death or total/permanent disability due to accident ,100% of rider sum assured; future premiums waived on disability claim ,"Accident-only cover; standard exclusions like self-injury, intoxication "
Shriram Life Family Income Benefit Rider,Accidental death or total/permanent disability due to accident ,1% of rider sum assured monthly for 10 years or till rider term ends ,Accident-only; one-time benefit per policy 
Shriram Life Extra Insurance Cover Rider,Death of life assured during rider term ,Rider sum assured paid to nominee; 15% premium rebate for sum assured ³ _1 lakh ,Pure term death cover; no maturity benefit 
Shriram Accidental Death & Disability Income Rider,Accidental death or disability ,Income benefit on disability; death benefit on accidental death ,Accident-only; specific income structure 
Shriram Critical Illness Care Rider,Critical illness coverage ,Lump sum benefit ,Limited details; overlaps with Critical Illness Plus 
Bharti AXA Life Term Rider,Death of the life insured during the rider term ,Additional sum assured paid in addition to the base policy death benefit ,"Pure death cover; entry age 18-60 years, max maturity age 70 years, term 5-25 years "
Bharti AXA Life Accidental Death Benefit Rider,Death due to accident during the policy term ,100% of rider sum assured paid to nominee in addition to base policy benefit ,"Accident-only cover; standard exclusions like self-injury, suicide, intoxication "
Bharti AXA Life Accidental Total & Permanent Disability Rider,Total and permanent disability caused by accident ,Additional cover on top of base policy for accidental disability ,Must meet disability definitions; non-accidental disability excluded 
Bharti AXA Life Premium Waiver Rider,"Death, total permanent disability, or critical illness of proposer (depending on option) ",100% of future premiums under base policy waived by insurer ,No cash payout; only premium waiver 
Bharti AXA Life Hospi Cash Benefit Rider,Hospitalization (24 hours minimum) and surgery ,Fixed daily hospital cash benefit + lump sum surgery benefit ,Hospitalization must meet minimum stay; surgery benefit depends on procedure 
Bharti AXA Life Critical Illness Rider,"Diagnosis of listed critical illnesses (cancer, heart attack, stroke, kidney failure, etc.) ",Lump sum benefit upon diagnosis of covered critical illness ,Only listed illnesses (typically 20+); survival period may apply 
Bharti AXA Life Non Linked Complete Shield Rider,"Critical illness (standard and comprehensive options), accidental death, women's specific illnesses ",Lump sum for critical illness; accidental death benefit; 15 women's illnesses in standard option ,180-day limit for accidental death; illness-specific rules 
Bharti AXA Life Group Accidental Death Benefit Rider,Accidental death under group policy ,Monthly reducing coverage benefit calculated on coverage term ,Group rider only; accidental death within 90 days 
Future Generali Non-Linked Accidental Death Rider,Accidental death during the policy term ,Additional rider sum assured payout to nominee ,"Accident-only cover; standard exclusions like self-injury, intoxication "
Future Generali Non-Linked Accidental Total & Permanent Disability Rider,Total and permanent disability due to accident ,Rider sum assured benefit for permanent disability ,Disability must meet policy definition; non-accidental disability excluded 
Future Generali Premium Waiver Benefit Rider,Total permanent disability or critical illness (depending on option) ,Future premiums waived; policy continues ,No cash payout; only premium waiver 
Future Generali Critical Illness Rider,Listed critical illnesses (core or extended conditions) ,Lump sum benefit on diagnosis; accelerated or additional payout options ,Only listed illnesses; survival period may apply 
Future Generali Terminal Illness Rider,Terminal illness diagnosis during policy term ,Advance/accelerated payout of base policy benefit ,Only terminal illness as defined; not all severe conditions 
Future Generali Linked Term Rider,Death during rider term (linked to ULIP base policy) ,Additional sum assured; ROP option available ,Available only for linked plans; ROP option has minimum 15-year term 
Future Generali Group Critical Illness Rider,"Critical illness under group policy (core/extended, accelerated/additional) ",Additional or accelerated benefit on critical illness claim ,Group rider only; illness list varies by option 
Future Generali Group Accidental Partial Permanent Disability Rider,Partial permanent disability due to accident under group policy ,Disability benefit under group terms ,Group rider only 
Ageas Federal Critical Shield Rider,"Up to 50 critical illnesses including cancer, heart attack, stroke, kidney failure ","Lump sum benefit upon diagnosis; entry age 18-65 years, maturity up to 75 years ",Only listed illnesses; one-time payout per rider term 
Ageas Federal Linked Critical Shield Rider,50 critical illnesses in linked ULIP policies ,Lump sum for covered critical illness diagnosis ,Linked plans only; diagnosis rules apply 
Ageas Federal Accident Care Rider,"Accidental death, double benefit for airplane accidents, partial/total permanent disability ",Rider sum assured; double payout for air accidents ,Accident-only; standard exclusions like self-injury 
Ageas Federal Waiver of Premium Rider,Death or listed critical illness of proposer ,Future premiums waived; policy continues uninterrupted ,No cash payout; only premium waiver 
Pramerica Life Accidental Death Benefit Rider,Death due to accident within 180 days of accident ,"100% rider sum assured (min _1L, max _2Cr) ",Entry age 18-65; maturity age 23-80; term 5-62 yrs 
Pramerica Life Accidental Total & Permanent Disability Rider,Total/permanent disability due to accident ,"Rider sum assured (min _1L, max _1Cr) ",Entry age 18-65; maturity age 23-75; no maturity/death benefit 
Pramerica Life Critical Illness Rider,Diagnosis of any of 32 critical illnesses/conditions/surgeries ,"100% rider sum assured (min _1L, max _50L) ",Entry age 18-65; maturity age 23-70; term 5-52 yrs 
Pramerica Life Waiver of Premium Rider,"Death, accidental TPD, or 32 critical illnesses of rider life insured/proposer ",Waives all future base policy + rider premiums ,Entry age 18-65; maturity age 23-70; term 5-52 yrs 
SUD Life Accidental Death Benefit Rider,Accidental death during policy term ,Additional lump sum to nominee ,Accident-only; standard exclusions 
SUD Life Accidental Death & Total Permanent Disability Benefit Rider,Accidental death or total/permanent disability ,Rider sum assured on accidental death/disability ,Accident-only; disability definition applies 
SUD Life Family Income Benefit Rider,Accidental death or total/permanent disability ,Monthly income benefit to family ,Accident-only; income for fixed period 
SUD Life Total CritiCare Rider,Critical illnesses (specific list) ,Lump sum on diagnosis ,Listed illnesses only 
IndiaFirst Life Term Rider,Death during rider term (5-30 years) ,Guaranteed lump sum death benefit + base policy payout ,"Min sum assured _1 lakh, max _20 crore; enhances existing life cover "
IndiaFirst Life Accidental Death Benefit Rider,Accidental death during policy term ,Additional financial protection over base policy ,Accident-only; standard exclusions apply 
IndiaFirst Life Total and Permanent Disability Rider,Total/permanent disability due to accident/sickness ,Lump sum benefit for disability protection ,Disability must meet policy definition 
IndiaFirst Life Critical Illness Rider,Listed critical illnesses ,Lump sum benefit on diagnosis ,Only covered illnesses; one-time payout 
IndiaFirst Life Waiver of Premium Rider,"Death, accidental total permanent disability, or critical illness ",Waives future premiums; policy continues ,No cash payout; trigger event required 
Edelweiss Tokio Accidental Death Benefit Rider,Death due to accident ,Additional sum assured + base policy payout ,"Accident-only; standard exclusions like self-injury, intoxication "
Edelweiss Tokio Accidental Total and Permanent Disability Rider,Total/permanent disability due to accident ,Waives future premiums; policy stays active ,Disability >6 months; accident-only 
Edelweiss Tokio Waiver of Premium on Critical Illness Rider,12 listed critical illnesses ,Waives all future premiums; coverage continues ,Only 12 listed illnesses 
Edelweiss Tokio Waiver of Premium on Disability Rider,Total/permanent disability due to accident ,Waives future premiums; policy active ,Accident-only disability 
 Life Accidental Death Benefit Rider,Death due to accident ,"Additional lump sum over base policy payout (e.g., _5L extra on _10L base) ","Accident-only; standard exclusions like self-injury, intoxication "
 Life Accidental Total Permanent Disability Benefit Rider,Permanent disability due to accident ,Lump sum benefit to cover lost income/expenses ,Accident-only; disability must meet policy definition 
 Life Critical Illness Benefit Rider,"21 critical illnesses (cancer, heart attack, stroke, etc.) ",Lump sum on diagnosis for medical costs/treatment ,Only listed 21 illnesses; diagnosis rules apply 
GO Digit Accidental Death Benefit Rider,Death due to accident ,"Extra lump sum over base policy (e.g., additional _5L on _10L base) ","Accident-only; self-injury, intoxication excluded "
GO Digit Accidental Disability Rider,Permanent/partial disability due to accident ,Lump sum or percentage of rider sum assured ,Accident-only; disability definition applies 
GO Digit Critical Illness Rider,14/20/34 critical illnesses (3 variants) ,Accelerated (reduces death benefit) or additional lump sum ,Listed illnesses only; diagnosis rules 
GO Digit Waiver of Premium Rider,Total/permanent disability or critical illness ,Waives future premiums; policy continues ,Trigger event required; no cash payout 
GO Digit Terminal Illness Rider,Terminal illness diagnosis ,Accelerated base policy payout ,Terminal illness definition only 
Bandhan Life Accidental Death Benefit Rider,"Accidental death; enhanced for train/air accidents, stampedes ",Up to 300% rider sum assured (Premium option); 1-3x base sum assured up to _3Cr (Classic option) ,Accident-only; add/detach during term 
Bandhan Life Critical Illness Rider,36 listed critical illnesses ,Lump sum benefit and/or premium waiver ,Listed illnesses only; diagnosis rules apply 
Bandhan Life Waiver of Premium Rider on Critical Illness,Critical illness diagnosis ,Waives future premiums; policy continues ,Limited/regular pay plans only 
Bandhan Life iDisability Rider,Disability due to accident ,Disability benefit payout ,Limited/regular pay plans only 
Bandhan Life AD Rider,Accidental death ,Lump sum equal to rider sum assured ,Accident-only 
Bandhan Life CI Care Rider,Critical illness diagnosis ,Lump sum benefit and/or premium waiver ,Listed illnesses 
Canara HSBC Linked Critical Illness Benefit Rider,40 Critical Illnesses (see list below) ,Lump sum on diagnosis; limited/regular pay options ,Entry age 18-65; max maturity 75 
Canara HSBC Accidental Benefit Rider,Accidental death + total/permanent disability ,100% rider sum assured; ATPD option available ,Accident-only; 180-day death limit 
Canara HSBC Terminal Illness Rider,Terminal illness (pre-included in iSelect Smart360) ,Accelerated base policy payout ,Terminal illness definition only 
